IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.63.193,2083,2083,TRUE,SIN,Asia Pacific,Singapore,93,10.83
8.218.119.115,2052,2052,FALSE,SJC,North America,San Jose,207,10.83
8.219.55.31,2052,2052,FALSE,SIN,Asia Pacific,Singapore,74,10.83
47.245.6.9,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,159,10.82
8.219.240.160,2053,2053,TRUE,SIN,Asia Pacific,Singapore,81,10.82
8.218.22.210,8880,8880,FALSE,SJC,North America,San Jose,205,10.82
8.219.167.113,2082,2082,FALSE,SIN,Asia Pacific,Singapore,18,10.82
47.245.126.151,2096,2096,TRUE,SIN,Asia Pacific,Singapore,28,10.82
47.242.17.250,2086,2086,FALSE,SJC,North America,San Jose,214,10.81
47.245.30.65,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,266,10.81
47.245.37.94,80,80,FALSE,NRT,Asia Pacific,Tokyo,77,10.81
47.236.172.95,2096,2096,TRUE,SIN,Asia Pacific,Singapore,102,10.81
8.209.240.227,80,80,FALSE,HKG,Asia Pacific,Hong Kong,176,10.81
8.219.210.93,2095,2095,FALSE,SIN,Asia Pacific,Singapore,9,10.8
8.219.159.232,2053,2053,TRUE,SIN,Asia Pacific,Singapore,220,10.8
8.222.133.247,2053,2053,TRUE,SIN,Asia Pacific,Singapore,121,10.79
47.245.89.102,8443,8443,TRUE,SIN,Asia Pacific,Singapore,53,10.79
8.219.240.160,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,10.79
8.219.142.191,2083,2083,TRUE,SIN,Asia Pacific,Singapore,63,10.79
8.219.1.92,8443,8443,TRUE,SIN,Asia Pacific,Singapore,66,10.79
8.219.228.157,2083,2083,TRUE,SIN,Asia Pacific,Singapore,76,10.79
8.219.51.211,8443,8443,TRUE,SIN,Asia Pacific,Singapore,98,10.79
8.219.228.157,80,80,FALSE,SIN,Asia Pacific,Singapore,23,10.79
47.236.172.95,8080,8080,FALSE,SIN,Asia Pacific,Singapore,13,10.78
8.219.86.200,8443,8443,TRUE,SIN,Asia Pacific,Singapore,123,10.78
8.219.110.88,2052,2052,FALSE,SIN,Asia Pacific,Singapore,3,10.78
47.245.37.98,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,180,10.77
8.219.137.50,2082,2082,FALSE,SIN,Asia Pacific,Singapore,11,10.77
47.245.53.101,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,112,10.77
8.222.162.45,2095,2095,FALSE,SIN,Asia Pacific,Singapore,18,10.77
8.219.236.8,8443,8443,TRUE,SIN,Asia Pacific,Singapore,46,10.77
47.236.168.17,2095,2095,FALSE,SIN,Asia Pacific,Singapore,11,10.77
47.74.5.233,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,138,10.77
8.222.160.61,8443,8443,TRUE,SIN,Asia Pacific,Singapore,74,10.76
8.219.5.10,2052,2052,FALSE,SIN,Asia Pacific,Singapore,3,10.76
8.219.193.202,443,443,TRUE,SIN,Asia Pacific,Singapore,92,10.76
8.219.178.225,2095,2095,FALSE,SIN,Asia Pacific,Singapore,15,10.76
47.236.104.98,2087,2087,TRUE,SIN,Asia Pacific,Singapore,93,10.76
47.236.165.25,2096,2096,TRUE,SIN,Asia Pacific,Singapore,71,10.76
47.236.29.235,2082,2082,FALSE,SIN,Asia Pacific,Singapore,18,10.76
8.219.63.193,2096,2096,TRUE,SIN,Asia Pacific,Singapore,137,10.76
8.219.228.157,2096,2096,TRUE,SIN,Asia Pacific,Singapore,103,10.76
47.245.4.22,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,224,10.76
8.219.67.133,2096,2096,TRUE,SIN,Asia Pacific,Singapore,65,10.76
8.218.119.115,8080,8080,FALSE,SJC,North America,San Jose,218,10.76
8.219.78.222,2096,2096,TRUE,SIN,Asia Pacific,Singapore,91,10.76
47.245.41.169,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,159,10.75
47.245.39.49,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,196,10.75
8.222.137.192,2082,2082,FALSE,SIN,Asia Pacific,Singapore,14,10.75
47.245.11.62,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,78,10.75
8.219.56.205,8880,8880,FALSE,SIN,Asia Pacific,Singapore,4,10.74
8.222.187.4,2052,2052,FALSE,SIN,Asia Pacific,Singapore,15,10.74
8.219.84.102,80,80,FALSE,SIN,Asia Pacific,Singapore,9,10.74
8.219.121.24,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,10.74
8.219.77.222,2096,2096,TRUE,SIN,Asia Pacific,Singapore,177,10.74
47.236.121.23,2053,2053,TRUE,SIN,Asia Pacific,Singapore,86,10.74
47.245.37.37,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,159,10.73
8.219.220.88,8880,8880,FALSE,SIN,Asia Pacific,Singapore,10,10.73
8.219.74.35,2082,2082,FALSE,SIN,Asia Pacific,Singapore,8,10.73
8.219.43.243,2082,2082,FALSE,SIN,Asia Pacific,Singapore,4,10.73
8.219.145.245,2095,2095,FALSE,SIN,Asia Pacific,Singapore,5,10.73
8.219.240.160,2083,2083,TRUE,SIN,Asia Pacific,Singapore,84,10.73
8.219.111.147,2052,2052,FALSE,SIN,Asia Pacific,Singapore,8,10.73
47.245.58.250,80,80,FALSE,NRT,Asia Pacific,Tokyo,72,10.72
8.219.75.44,2052,2052,FALSE,SIN,Asia Pacific,Singapore,24,10.72
8.219.208.69,2053,2053,TRUE,SIN,Asia Pacific,Singapore,69,10.72
8.219.199.220,2083,2083,TRUE,SIN,Asia Pacific,Singapore,88,10.72
8.209.243.99,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,73,10.72
47.236.144.208,2082,2082,FALSE,SIN,Asia Pacific,Singapore,23,10.71
47.245.56.207,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,209,10.71
8.219.178.101,2083,2083,TRUE,SIN,Asia Pacific,Singapore,110,10.71
8.219.141.174,2083,2083,TRUE,SIN,Asia Pacific,Singapore,104,10.71
47.245.37.98,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,218,10.71
8.219.56.205,2083,2083,TRUE,SIN,Asia Pacific,Singapore,152,10.71
8.209.240.229,80,80,FALSE,NRT,Asia Pacific,Tokyo,73,10.71
47.245.41.84,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,109,10.71
8.219.72.50,8080,8080,FALSE,SIN,Asia Pacific,Singapore,18,10.71
8.219.63.66,8880,8880,FALSE,SIN,Asia Pacific,Singapore,8,10.71
47.245.8.118,2052,2052,FALSE,SIN,Asia Pacific,Singapore,159,10.71
8.219.122.55,2087,2087,TRUE,SIN,Asia Pacific,Singapore,105,10.7
8.222.168.155,2083,2083,TRUE,SIN,Asia Pacific,Singapore,63,10.7
47.236.65.177,8443,8443,TRUE,SIN,Asia Pacific,Singapore,89,10.7
47.245.57.38,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,226,10.7
47.245.37.89,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,226,10.7
8.219.139.13,2082,2082,FALSE,SIN,Asia Pacific,Singapore,4,10.7
8.219.197.111,2087,2087,TRUE,SIN,Asia Pacific,Singapore,153,10.7
47.236.150.109,2086,2086,FALSE,SIN,Asia Pacific,Singapore,50,10.7
8.219.87.34,2052,2052,FALSE,SIN,Asia Pacific,Singapore,4,10.7
8.209.222.232,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,167,10.7
8.219.13.143,2083,2083,TRUE,SIN,Asia Pacific,Singapore,106,10.7
47.245.59.133,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,76,10.69
47.236.116.26,2087,2087,TRUE,SIN,Asia Pacific,Singapore,64,10.69
8.219.97.179,8443,8443,TRUE,SIN,Asia Pacific,Singapore,78,10.69
8.219.206.180,2083,2083,TRUE,SIN,Asia Pacific,Singapore,90,10.69
47.245.40.55,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,209,10.69
47.245.37.37,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,308,10.69
8.219.253.114,2053,2053,TRUE,SIN,Asia Pacific,Singapore,81,10.69
47.236.116.26,2052,2052,FALSE,SIN,Asia Pacific,Singapore,13,10.69
8.209.243.137,80,80,FALSE,HKG,Asia Pacific,Hong Kong,164,10.69
47.245.11.118,80,80,FALSE,NRT,Asia Pacific,Tokyo,71,10.68
8.219.170.58,2083,2083,TRUE,SIN,Asia Pacific,Singapore,42,10.68
8.219.253.18,2083,2083,TRUE,SIN,Asia Pacific,Singapore,104,10.68
8.219.159.232,2086,2086,FALSE,SIN,Asia Pacific,Singapore,16,10.68
8.219.74.35,2087,2087,TRUE,SIN,Asia Pacific,Singapore,84,10.68
47.245.52.165,8443,8443,TRUE,SIN,Asia Pacific,Singapore,239,10.68
47.245.4.219,8880,8880,FALSE,SIN,Asia Pacific,Singapore,164,10.67
8.210.65.1,8080,8080,FALSE,SJC,North America,San Jose,203,10.67
47.74.49.62,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,160,10.67
47.245.11.216,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,72,10.66
47.74.43.24,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,230,10.66
47.245.62.84,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,284,10.66
8.219.4.122,8080,8080,FALSE,SIN,Asia Pacific,Singapore,2,10.66
8.219.237.250,2082,2082,FALSE,SIN,Asia Pacific,Singapore,25,10.66
8.219.251.81,2083,2083,TRUE,SIN,Asia Pacific,Singapore,111,10.65
47.245.33.158,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,77,10.65
8.222.145.164,80,80,FALSE,SIN,Asia Pacific,Singapore,33,10.65
8.219.255.171,8880,8880,FALSE,SIN,Asia Pacific,Singapore,11,10.65
47.236.104.98,2086,2086,FALSE,SIN,Asia Pacific,Singapore,47,10.65
8.222.184.198,8880,8880,FALSE,SIN,Asia Pacific,Singapore,18,10.65
47.245.10.132,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,76,10.65
8.219.200.145,2087,2087,TRUE,SIN,Asia Pacific,Singapore,80,10.64
8.222.137.192,2083,2083,TRUE,SIN,Asia Pacific,Singapore,87,10.64
47.236.148.174,80,80,FALSE,SIN,Asia Pacific,Singapore,10,10.64
47.245.41.84,80,80,FALSE,HKG,Asia Pacific,Hong Kong,165,10.64
8.209.212.5,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,178,10.63
8.219.215.214,8880,8880,FALSE,SIN,Asia Pacific,Singapore,4,10.63
8.210.55.134,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,42,10.63
47.236.116.26,8443,8443,TRUE,SIN,Asia Pacific,Singapore,56,10.63
8.219.90.196,2053,2053,TRUE,SIN,Asia Pacific,Singapore,101,10.63
47.245.41.169,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,168,10.63
47.236.4.129,2086,2086,FALSE,SIN,Asia Pacific,Singapore,24,10.63
8.219.55.31,2082,2082,FALSE,SIN,Asia Pacific,Singapore,85,10.62
47.245.54.98,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,74,10.62
8.209.222.232,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,158,10.62
8.219.121.24,2087,2087,TRUE,SIN,Asia Pacific,Singapore,51,10.62
8.222.208.83,2082,0,FALSE,SIN,Asia Pacific,Singapore,4,10.62
8.219.159.232,8080,8080,FALSE,SIN,Asia Pacific,Singapore,3,10.61
47.245.37.94,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,187,10.61
47.245.41.69,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,291,10.61
8.219.193.202,2086,2086,FALSE,SIN,Asia Pacific,Singapore,4,10.6
8.219.99.8,8080,8080,FALSE,SIN,Asia Pacific,Singapore,13,10.6
8.219.53.222,2087,2087,TRUE,SIN,Asia Pacific,Singapore,78,10.6
8.219.6.187,2086,2086,FALSE,SIN,Asia Pacific,Singapore,5,10.6
8.219.134.63,2087,2087,TRUE,SIN,Asia Pacific,Singapore,136,10.6
8.222.184.198,80,80,FALSE,SIN,Asia Pacific,Singapore,21,10.59
8.219.114.201,2096,2096,TRUE,SIN,Asia Pacific,Singapore,68,10.59
8.219.194.170,2053,2053,TRUE,SIN,Asia Pacific,Singapore,85,10.59
8.219.51.211,2087,2087,TRUE,SIN,Asia Pacific,Singapore,103,10.58
47.245.32.215,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,179,10.58
8.209.243.99,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,120,10.58
8.219.141.174,8080,8080,FALSE,SIN,Asia Pacific,Singapore,5,10.58
8.219.170.232,443,443,TRUE,SIN,Asia Pacific,Singapore,61,10.58
8.219.175.127,8443,8443,TRUE,SIN,Asia Pacific,Singapore,86,10.58
47.236.145.85,2096,2096,TRUE,SIN,Asia Pacific,Singapore,107,10.58
47.245.15.207,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,167,10.58
47.91.21.127,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,117,10.58
8.219.156.148,2082,2082,FALSE,SIN,Asia Pacific,Singapore,5,10.57
47.236.166.184,2087,2087,TRUE,SIN,Asia Pacific,Singapore,95,10.57
8.219.101.72,2052,2052,FALSE,SIN,Asia Pacific,Singapore,16,10.57
8.219.3.53,8080,8080,FALSE,SIN,Asia Pacific,Singapore,7,10.57
8.219.147.58,2095,2095,FALSE,SIN,Asia Pacific,Singapore,4,10.57
8.219.240.160,8880,8880,FALSE,SIN,Asia Pacific,Singapore,8,10.57
8.219.84.214,2052,2052,FALSE,SIN,Asia Pacific,Singapore,7,10.56
8.219.202.130,2095,2095,FALSE,SIN,Asia Pacific,Singapore,5,10.56
8.219.90.32,2087,2087,TRUE,SIN,Asia Pacific,Singapore,65,10.56
8.222.188.56,2087,2087,TRUE,SIN,Asia Pacific,Singapore,128,10.56
47.236.82.218,2095,2095,FALSE,SIN,Asia Pacific,Singapore,10,10.56
8.219.170.58,2083,2083,TRUE,SIN,Asia Pacific,Singapore,88,10.55
8.219.145.245,8443,8443,TRUE,SIN,Asia Pacific,Singapore,130,10.55
8.219.240.160,2052,2052,FALSE,SIN,Asia Pacific,Singapore,12,10.55
8.219.194.170,2087,2087,TRUE,SIN,Asia Pacific,Singapore,133,10.55
8.209.252.13,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,74,10.55
47.236.173.200,2083,2083,TRUE,SIN,Asia Pacific,Singapore,99,10.54
8.218.174.118,443,443,TRUE,HKG,Asia Pacific,Hong Kong,94,10.54
8.218.207.169,80,80,FALSE,SJC,North America,San Jose,214,10.54
47.245.11.108,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,178,10.54
8.219.215.214,2087,2087,TRUE,SIN,Asia Pacific,Singapore,69,10.54
47.236.79.77,2087,2087,TRUE,SIN,Asia Pacific,Singapore,94,10.54
8.219.103.65,2083,2083,TRUE,SIN,Asia Pacific,Singapore,118,10.54
8.219.222.98,2083,2083,TRUE,SIN,Asia Pacific,Singapore,58,10.54
47.74.12.139,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,168,10.54
8.219.199.220,443,443,TRUE,SIN,Asia Pacific,Singapore,90,10.54
47.245.8.118,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,216,10.54
47.245.42.210,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,284,10.53
8.209.243.137,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,163,10.53
8.219.251.81,2082,2082,FALSE,SIN,Asia Pacific,Singapore,27,10.53
8.218.2.181,2082,0,FALSE,HKG,Asia Pacific,Hong Kong,36,10.53
47.245.53.50,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,169,10.53
47.245.26.167,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,304,10.53
8.219.178.9,2082,2082,FALSE,SIN,Asia Pacific,Singapore,5,10.53
47.245.55.94,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,176,10.52
8.219.139.13,2095,2095,FALSE,SIN,Asia Pacific,Singapore,15,10.52
47.91.18.207,2053,2053,TRUE,SIN,Asia Pacific,Singapore,157,10.52
8.219.101.138,2083,2083,TRUE,SIN,Asia Pacific,Singapore,32,10.52
47.245.39.49,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,211,10.52
8.219.60.130,80,80,FALSE,SIN,Asia Pacific,Singapore,4,10.52
8.217.248.220,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,44,10.52
47.236.114.23,8080,8080,FALSE,SIN,Asia Pacific,Singapore,43,10.51
8.219.79.74,8443,8443,TRUE,SIN,Asia Pacific,Singapore,99,10.51
47.245.41.69,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,169,10.51
8.219.248.170,2053,2053,TRUE,SIN,Asia Pacific,Singapore,83,10.51
47.245.9.228,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,168,10.51
8.209.252.13,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,77,10.51
8.217.149.28,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,68,10.5
8.219.253.18,2053,2053,TRUE,SIN,Asia Pacific,Singapore,98,10.5
8.219.153.44,2086,2086,FALSE,SIN,Asia Pacific,Singapore,3,10.5
8.219.238.145,80,80,FALSE,SIN,Asia Pacific,Singapore,5,10.5
47.245.54.140,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,171,10.5
47.245.52.165,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,246,10.5
8.219.222.98,443,443,TRUE,SIN,Asia Pacific,Singapore,100,10.5
8.218.127.249,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,46,10.5
8.209.222.232,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,163,10.5
8.219.141.174,2087,2087,TRUE,SIN,Asia Pacific,Singapore,155,10.5
47.236.104.11,2052,2052,FALSE,SIN,Asia Pacific,Singapore,28,10.49
47.245.55.94,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,174,10.49
8.219.113.27,2087,2087,TRUE,SIN,Asia Pacific,Singapore,73,10.49
47.236.116.208,8880,8880,FALSE,SIN,Asia Pacific,Singapore,13,10.49
8.219.222.98,2082,2082,FALSE,SIN,Asia Pacific,Singapore,7,10.49
8.219.233.6,2087,2087,TRUE,SIN,Asia Pacific,Singapore,80,10.49
8.219.167.65,443,443,TRUE,SIN,Asia Pacific,Singapore,81,10.49
8.219.184.92,8080,8080,FALSE,SIN,Asia Pacific,Singapore,4,10.48
8.219.157.97,8443,8443,TRUE,SIN,Asia Pacific,Singapore,82,10.48
47.245.26.167,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,172,10.48
47.245.37.94,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,167,10.48
47.245.56.207,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,80,10.48
8.219.196.117,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,10.48
8.218.158.94,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,43,10.47
8.219.210.93,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,10.47
8.222.164.44,2052,2052,FALSE,SIN,Asia Pacific,Singapore,31,10.47
47.245.52.165,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,171,10.47
8.219.100.155,2086,2086,FALSE,SIN,Asia Pacific,Singapore,323,10.47
8.219.141.174,2053,2053,TRUE,SIN,Asia Pacific,Singapore,41,10.47
47.245.55.99,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,73,10.47
47.236.147.146,2052,2052,FALSE,SIN,Asia Pacific,Singapore,19,10.47
8.217.251.62,8880,8880,FALSE,SJC,North America,San Jose,210,10.47
47.245.9.99,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,173,10.47
47.74.22.171,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,170,10.46
47.236.87.246,2096,2096,TRUE,SIN,Asia Pacific,Singapore,47,10.46
8.217.167.88,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,51,10.45
8.219.111.175,2095,2095,FALSE,SIN,Asia Pacific,Singapore,124,10.45
8.219.159.232,2052,2052,FALSE,SIN,Asia Pacific,Singapore,11,10.45
8.219.72.51,8080,8080,FALSE,SIN,Asia Pacific,Singapore,14,10.45
8.219.167.113,2052,2052,FALSE,SIN,Asia Pacific,Singapore,3,10.45
8.219.126.240,2087,2087,TRUE,SIN,Asia Pacific,Singapore,49,10.45
8.219.250.239,2087,2087,TRUE,SIN,Asia Pacific,Singapore,86,10.45
47.245.26.167,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,180,10.45
8.219.196.117,2082,2082,FALSE,SIN,Asia Pacific,Singapore,33,10.45
47.245.15.207,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,169,10.45
47.242.17.250,8080,8080,FALSE,SJC,North America,San Jose,213,10.44
8.219.114.201,2083,2083,TRUE,SIN,Asia Pacific,Singapore,32,10.44
47.245.37.94,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,107,10.44
8.219.12.152,80,80,FALSE,SIN,Asia Pacific,Singapore,4,10.44
